Number,ITEM,Name,Name,Name,Name,Name,Function,Function,Construction Year,Construction Year,Construction Year,Construction Year,Associated Figure,Associated Figure,Associated Figure,,,Location,Location,Location,Location,Location,
Monument ID,Name_Ministry of Antiquity_en,Ministry of Antiquity_ar,Ministry of Antiquity_variant,D. Abouseif_en,Napoleon's Map_ar,Napoleon's Map_fr,Facility Number,Facility Name,Ministry of Antiquity_AH,Ministry of Antiquity_AD,Abouseif,Fukami,Arabic,Variant,English,Latitude,Longtitude,Ministry of Antiquities,Nicholas Warner,Napoleon's Map_Region,Napoleon's Map_Area,Napoleon's Map_Monument ID,URL
81,Khawand Toghay/Umm Anuk,بقايا خانقاه خوند ام آنوك,Khawand Ṭoghāy (Umm Anūk),"Khawand Toghay, wife of Sultan al-Nasir, mother of Anuk",N/A,N/A,a,mausoleum,before 749,1348,1348,1348,الخوند طغاي الناصرية ام آنوك,al-Khawand Ṭughāy al-Nāṣirīya Umm Ānūk,al-Khawand Tughay al-Nasiriya Umm Anuk,30.042442,31.27102,5K,N/A,N/A,N/A,N/A,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument81
81,Khawand Toghay/Umm Anuk,بقايا خانقاه خوند ام آنوك,Khawand Ṭoghāy (Umm Anūk),"Khawand Toghay, wife of Sultan al-Nasir, mother of Anuk",N/A,N/A,b,mausoleum,before 749,1348,1348,1348,الخوند طغاي الناصرية ام آنوك,al-Khawand Ṭughāy al-Nāṣirīya Umm Ānūk,al-Khawand Tughay al-Nasiriya Umm Anuk,30.042569,31.271128,5K,N/A,N/A,N/A,N/A,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument81
81,Khawand Toghay/Umm Anuk,بقايا خانقاه خوند ام آنوك,Khawand Ṭoghāy (Umm Anūk),"Khawand Toghay, wife of Sultan al-Nasir, mother of Anuk",N/A,N/A,c,mosque,before 749,1348,1348,1348,الخوند طغاي الناصرية ام آنوك,al-Khawand Ṭughāy al-Nāṣirīya Umm Ānūk,al-Khawand Tughay al-Nasiriya Umm Anuk,30.04251,31.271068,5K,N/A,N/A,N/A,N/A,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument81
82,"Sidi Madyan al-Ashmuni, Sufi Shaykh",جامع سيدى مدين,Sīdī Madyan,"Khwand Mughal, daughter of Qadi Nasir al-Din ibn al-Barzi, wufe of Sultan al-Mu'ayyad, wife of Sultan Gaqmaq",جامع سي مدين,Gâma’ Sy Madyan,a,minaret,about 870,1465,1465,1465,الخوند مغل بنت القاضي ناصر الدين محمد بن محمد بن عثمان بن محمد بن عبد الرحيم بن إبراهيم البارزي,al-Khawand Mughul bint al-Qāḍī Nāṣir al-Dīn Muḥammad b. Muḥammad b. 'Uthmān b. Muḥammad b. 'Abd al-Raḥīm b. ibrāhīm al-Barizī ,al-Khawand Mughul bint al-Qadi Nasir al-Din Muhammad b. Muhammad b. Uthman b. Muhammad b. Abd al-Rahim b. Ibrahim al-Barizi,N/A,N/A,2G,N/A,V,E-9,323,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument82
82,"Sidi Madyan al-Ashmuni, Sufi Shaykh",جامع سيدى مدين,Sīdī Madyan,"Khwand Mughal, daughter of Qadi Nasir al-Din ibn al-Barzi, wufe of Sultan al-Mu'ayyad, wife of Sultan Gaqmaq",جامع سي مدين,Gâma’ Sy Madyan,b,mosque,about 870,1465,1465,1465,الخوند مغل بنت القاضي ناصر الدين محمد بن محمد بن عثمان بن محمد بن عبد الرحيم بن إبراهيم البارزي,al-Khawand Mughul bint al-Qāḍī Nāṣir al-Dīn Muḥammad b. Muḥammad b. 'Uthmān b. Muḥammad b. 'Abd al-Raḥīm b. ibrāhīm al-Barizī ,al-Khawand Mughul bint al-Qadi Nasir al-Din Muhammad b. Muhammad b. Uthman b. Muhammad b. Abd al-Rahim b. Ibrahim al-Barizi,30.056333,31.255899,2G,N/A,V,E-9,323,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument82
83,az-Zahid,منارة سيدى احمد الزاهد,az-Zāhid,N/A,جامع الزاهد,Gâma’ el-Zâhed,a,minaret,818,1415,1415,1415,شهاب الدين أبوالعباس بن سليمان القادري (الزاهد),Shihāb al-Dīn Abū al-'Abbās b. Sulaymān al-Qadirī (al-Zāhid),Shihab al-Din Abu al-Abbas b. Sulayman al-Qadiri (al-Zahid),30.05585,31.25508,3F,N/A,V,E-10,324,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument83
83,az-Zahid,منارة سيدى احمد الزاهد,az-Zāhid,N/A,جامع الزاهد,Gâma’ el-Zâhed,b,mosque,818,1415,1415,1415,شهاب الدين أبوالعباس بن سليمان القادري (الزاهد),Shihāb al-Dīn Abū al-'Abbās b. Sulaymān al-Qadirī (al-Zāhid),Shihab al-Din Abu al-Abbas b. Sulayman al-Qadiri (al-Zahid),N/A,N/A,3F,N/A,V,E-10,324,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument83
84,al-Wazir,قبة الوزير,al-Wazīr,N/A,N/A,N/A,,mausoleum,8th cent.,14th cent.,N/A,1350,شاهين بن عبد الله الحسيني,Shāhīn 'Abd Allāh al-Ḥusaynī,Shahin Abd Allah al-Husayni,30.035281,31.270569,7K,N/A,N/A,N/A,N/A,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument84
85,Tankizbugha,قبة الامير تنكز بغا ( جامع التنكزية ),Tankizbughā,"Amir Tankizbugha(d.1358), brother-in-low of Sultan Hasan",الشيخ قلنتيه,"Fort Martiner,El-cheykh Qalantayeh",a,minaret,764,1362,1362,1362,الامير تنكز بغا ( جامع التنكزية ),al-Amīr Tankiz Bughā,al-Amir Tankiz Bugha,30.036071,31.271336,7K,N/A,VIII,Q-3,13,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument85
85,Tankizbugha,قبة الامير تنكز بغا ( جامع التنكزية ),Tankizbughā,"Amir Tankizbugha(d.1358), brother-in-low of Sultan Hasan",الشيخ قلنتيه,"Fort Martiner,El-cheykh Qalantayeh",b,mausoleum,764,1362,1362,1362,الامير تنكز بغا ( جامع التنكزية ),al-Amīr Tankiz Bughā,al-Amir Tankiz Bugha,30.036032,31.271713,7K,N/A,VIII,Q-3,13,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument85
86,Qaragogha al-Hasani/as-Sadat ash-Shanahra,قبة السادات الشناهرة,Qarāqoga al-Ḥasanī (as-Sādāt ash-Shanāhra),N/A,N/A,N/A,,mausoleum,before 853,1449,1449,1344,قراقجا بن عبد الله الحسني الظاهري,Qarāqjā b. 'Abd Allāh al-Ḥasanī al-Ẓāhirī,Qaraqja b. Abd Allah al-Hasani al-Zahiri,30.038755,31.269805,6J,N/A,N/A,N/A,N/A,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument86
87,Azrumuk,قبة الامير ازرمك,Azrumuk,"Amir Azrumuk, Amir of 100 under Sultan al-Ghuri",N/A,N/A,,mausoleum,909-10,1504-5,1503,1504,الامير ازرمك السيفي الشريفي,al-Amīr Azrumuk al-Sayfī al-Sharīfī,al-Amir Azrumuk al-Sayfi al-Sharifi,30.041315,31.270599,6J,N/A,N/A,N/A,N/A,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument87
88,Kuz al-'Asal/Nasrallah,قبة حسن نصر الله,Kūz al-ʻAssal (Naṣlallāh),"Amir Nasrallah, civilian amir of Sultan Gaqmaq",N/A,N/A,,mausoleum,about 845,1441,1441,1441,حسن نصر الله,Ḥasan Naṣr Allāh,Hasan Nasr Allah,30.041457,31.270799,6K,N/A,N/A,N/A,N/A,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument88
89,Guzal/Sidi Karkar,قبة كزل ( كركر ),Gūzāl (Sīdī Karkar),Amir Guzal,N/A,N/A,,mausoleum,805,1403,1403,1403,كزل الناصري ( كركر ),Kuzal al-Nāṣirī,Kuzal al-Nasiri,30.042667,31.271832,5K,N/A,N/A,N/A,N/A,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument89
90,az-Zomr/Asdomor,قبة ازدمر ( الزمر ),az-Zomr (Azdomor),N/A,N/A,N/A,a,mausoleum,end 9th cent.,15th cent.,late 15c.,1450,ازدمر ( الزمر ),Azdamur (al-Zamr),Azdamur (al-Zamr),30.043915,31.272126,5K,N/A,N/A,N/A,N/A,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument90
90,az-Zomr/Asdomor,قبة ازدمر ( الزمر ),az-Zomr (Azdomor),N/A,N/A,N/A,b,mosque,end 9th cent.,15th cent.,late 15c.,1450,ازدمر ( الزمر ),Azdamur (al-Zamr),Azdamur (al-Zamr),30.043976,31.272148,5K,N/A,N/A,N/A,N/A,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument90
90,az-Zomr/Asdomor,قبة ازدمر ( الزمر ),az-Zomr (Azdomor),N/A,N/A,N/A,c,sabil,end 9th cent.,15th cent.,late 15c.,1450,ازدمر ( الزمر ),Azdamur (al-Zamr),Azdamur (al-Zamr),N/A,N/A,5K,N/A,N/A,N/A,N/A,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument90
92,Tashtimur/Hommos Akhdar,قبة طشتمر ( حمص اخضر ),Ṭashtīmūr (Ḥommos Akhḍar),"Amir Tashtimir, saqi of Sultan al-Nasir",N/A,N/A,,mausoleum,735,1334,1334,1334,طشتمر ( حمص اخضر ),Ṭashtamur,Tashtamur,30.043629,31.273287,5K,N/A,N/A,N/A,N/A,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument92
93,"Qaytbay, Bab al-Jindi",باب قايتباى ( جبانة قايتباى ),Qāytbāy,Sultan Qaytbay,ترب باب الوزير,Tourab Bâb el-Ouizyeh* ,,bab,about 879,1474,1474,1474,السلطان الاشرف قايتباى,al-Sulṭān al-Ashraf Qāytbāy,al-Sultan al-Ashraf Qaytbay,30.043358,31.274798,5K,N/A,VIII,P-Q-3,42,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument93
94,Ibn Ghurab,قبة بن غراب,Ibn Ghurāb,"Amir Ibn Ghurab under Sultan Barquq, Sultan Abdel Aziz and Sultan Farag",N/A,N/A,,mausoleum,before 808,before 1406,1406,1334,سعد الدين اهبراهيم بن عبد الرازق بن غراب الاسكندراني,Sa'ad al-Dīn Ibrāhīm b. 'Abd al-Razzāq b. Ghurāb al-Iskandarānī,Saad al-Din Ibrahim b. Abd al-Razzaq b. Ghrab al-Iskandarani,30.043864,31.27429,5K,N/A,N/A,N/A,N/A,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument94
95,Murad Bay,واجهة مدفن مراد بك,Murād Bey,N/A,N/A,N/A,,mausoleum,about 879,1474,N/A,1474,مراد بك,Murād Bak,Murad Bak,30.043754,31.274897,5K,N/A,N/A,N/A,N/A,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument95
96,Ghannamiya,قاعة شاكر بن الغنام,al-Ghannāmīya,Wazir Shakir ibn Ghanam,زاوية النناميه,Zâouyet el-Nanâmyeh,,mosque,774,1372-73,N/A,1372,شاكر بن الغنام,Shākir bn al-Ghanām,Shakir bn al-Ghanam,30.045003,31.26389,5H,13,VII,K-4,54,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument96
97,al-Gawhariyya(al-Azhar),جامع الازهر, al-Gawharīya (al-Azhar),N/A,جامع الأزهر,Gâma’ el-Azhar,a,mausoleum,369-61,970-72,N/A,1440,N/A,N/A,N/A,30.04592,31.263181,5H,13,VII,K-4,57,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument97
97,al-Gawhariyya(al-Azhar),جامع الازهر, al-Gawharīya (al-Azhar),"Eunuch Gawhar, treasurer of Sultan Barsbay",جامع الأزهر,Gâma’ el-Azhar,b,mosque,N/A,N/A,N/A,1440,U/C,U/C,U/C,30.045943,31.263264,5H,13,VII,K-4,57,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument97
97,al-Azhar,جامع الازهر,al-Azhar,Sultan Barquq,جامع الأزهر,Gâma’ el-Azhar,c,minaret,N/A,N/A,970,1397,U/C,U/C,U/C,N/A,N/A,5H,13,VII,K-4,57,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument97
97,al-Azhar,جامع الازهر,al-Azhar,Amir Aqbugha,جامع الأزهر,Gâma’ el-Azhar,d,minaret,N/A,N/A,N/A,1339,U/C,U/C,U/C,30.046073,31.262293,5H,13,VII,K-4,57,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument97
97,al-Azhar,جامع الازهر,al-Azhar,Sultan Qaytbay,جامع الأزهر,Gâma’ el-Azhar,e,minaret,N/A,N/A,N/A,1469,U/C,U/C,U/C,30.045919,31.262353,5H,13,VII,K-4,57,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument97
97,al-Ghuri(al-Azhar),جامع الازهر,al-Ghūrī (al-Azhar),Sultan al-Ghuri,جامع الأزهر,Gâma’ el-Azhar,f,minaret,N/A,N/A,N/A,1509,U/C,U/C,U/C,30.045771,31.262202,5H,13,VII,K-4,57,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument97
97,al-Azhar,جامع الازهر,al-Azhar,Abd al-Rahman Katkhuda,جامع الأزهر,Gâma’ el-Azhar,g,minaret,N/A,N/A,N/A,18c.,U/C,U/C,U/C,30.04559,31.263292,5H,13,VII,K-4,57,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument97
97,al-Azhar,جامع الازهر,al-Azhar,Abd al-Rahman Katkhuda,جامع الأزهر,Gâma’ el-Azhar,h,minaret,N/A,N/A,N/A,18c.,U/C,U/C,U/C,30.045161,31.262914,5H,13,VII,K-4,57,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument97
97,al-Azhar,جامع الازهر,al-Azhar,Fatimid Khalif al-Mu'izz,جامع الأزهر,Gâma’ el-Azhar,i,mosque,N/A,N/A,970,970,U/C,U/C,U/C,30.045868,31.262559,5H,13,VII,K-4,57,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument97
97,al-Taybarsiyya,جامع الازهر,al-Azhar (al-Ṭaybarsīya),Amir Taybars,جامع الأزهر,Gâma’ el-Azhar,j,mosque,N/A,N/A,N/A,1309,U/C,U/C,U/C,30.045942,31.262244,5H,13,VII,K-4,57,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument97
97,al-Aqbukhawiyaa(al-Azhar),جامع الازهر,al-Azhar (Aqbughāwīya),Amir Aqbugha,جامع الأزهر,Gâma’ el-Azhar,k,mosque,N/A,N/A,N/A,1339,U/C,U/C,U/C,30.046214,31.262442,5H,13,VII,K-4,57,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument97
98,Muhammad Bey Abu'l adh-Dhahab,جامع محمد بك ابو الدهب,Muḥammad Bey Abuʼl dh-Dhahab,N/A,جامع محمد بيه,Gâma’ Mohammed bey ,a,minaret,1188,1774,N/A,1774,محمد بك ابو الذهب,Muḥammad Bak Abū al-Dhahab,Muhammad Bak Abu al-Dhahab,30.045965,31.261582,5H,13,VII,K-5,151,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument98
98,Muhammad Bey Abu'l adh-Dhahab,جامع محمد بك ابو الدهب,Muḥammad Bey Abuʼl dh-Dhahab,N/A,جامع محمد بيه,Gâma’ Mohammed bey ,b,mosque,1188,1774,N/A,1774,محمد بك ابو الذهب,Muḥammad Bak Abū al-Dhahab,Muhammad Bak Abu al-Dhahab,30.046009,31.261833,5H,13,VII,K-5,151,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument98
99,Qaytbay,مسجد السلطان قايتباى ( جبانة قايتباى ),Sultān Qāytbāy,Sultan Qaytbay,ترب قائد بيه,Tourab Qâyd bey* ,a,minaret,877-79,1472-74,1472-4,1472,السلطان قايتباى ( جبانة قايتباى ),al-Sulṭān Qāytbāy,al-Sultan Qaytbay,30.044101,31.275023,5K,N/A,VIII,P-2-3,44,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument99
99,Qaytbay,مسجد السلطان قايتباى ( جبانة قايتباى ),Sultān Qāytbāy,Sultan Qaytbay,ترب قائد بيه,Tourab Qâyd bey* ,b,mausoleum,877-79,1472-74,1472-4,1472,السلطان قايتباى ( جبانة قايتباى ),al-Sulṭān Qāytbāy,al-Sultan Qaytbay,30.043855,31.274929,5K,N/A,VIII,P-2-3,44,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument99
99,Qaytbay,مسجد السلطان قايتباى ( جبانة قايتباى ),Sultān Qāytbāy,Sultan Qaytbay,ترب قائد بيه,Tourab Qâyd bey* ,c,mosque,877-79,1472-74,1472-4,1472,السلطان قايتباى ( جبانة قايتباى ),al-Sulṭān Qāytbāy,al-Sultan Qaytbay,30.044024,31.274905,5K,N/A,VIII,P-2-3,44,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument99
99,Qaytbay,مسجد السلطان قايتباى ( جبانة قايتباى ),Sultān Qāytbāy,Sultan Qaytbay,ترب قائد بيه,Tourab Qâyd bey* ,d,sabil kuttab,877-79,1472-74,1472-4,1472,السلطان قايتباى ( جبانة قايتباى ),al-Sulṭān Qāytbāy,al-Sultan Qaytbay,30.044064,31.275112,5K,N/A,VIII,P-2-3,44,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument99
100,"al-Gulshani, Ottoman Sufi Shaykh",قبة الكلشنى,al-Gulshānī,Sultan Qaytbay,N/A,N/A,a,mausoleum,about 879,1474-75,1495-6,1472,السلطان قايتباى,al-Sulṭān Qāytbāy,al-Sultan Qaytbay,30.044182,31.274422,5K,N/A,N/A,N/A,N/A,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument100
100,"al-Gulshani, Ottoman Sufi Shaykh",قبة الكلشنى,al-Gulshānī,Sultan Qaytbay,N/A,N/A,b,mosque,about 879,1474-75,1495-6,1472,السلطان قايتباى,al-Sulṭān Qāytbāy,al-Sultan Qaytbay,30.044112,31.274414,5K,N/A,N/A,N/A,N/A,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument100
101,Qaytbay,مقعد السلطان قايتباى,Qāytbāy,Sultan Qaytbay,N/A,N/A,,residence,879,1474,1474,1474,السلطان قايتباى,al-Sulṭān Qāytbāy,al-Sultan Qaytbay,30.044143,31.27414,5K,N/A,N/A,N/A,N/A,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument101
102,al-'Ayni,مدرسة العينى,al-ʻAynī,"Qadi al-Ayni, under Sultan Barquq, Sultan Mu'ayyad Shaykh and Sultan Barsbay",جامع عينيه,Gâma’ A’ynyeh ,a,mausoleum,814,1411,1411,1411,بدر الدين محمود بن احمد العينى,Badr al-Dīn Maḥmūd b. Aḥmad al-‘Aynī,Badr al-Din Mahmud b. Ahmad al-Ayni,30.044863,31.263249,5H,13,VII,L-4,53,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument102
102,al-'Ayni,مدرسة العينى,al-ʻAynī,"Qadi al-Ayni, under Sultan Barquq, Sultan Mu'ayyad Shaykh and Sultan Barsbay",جامع عينيه,Gâma’ A’ynyeh ,b,minaret,814,1411,1411,1411,بدر الدين محمود بن احمد العينى,Badr al-Dīn Maḥmūd b. Aḥmad al-‘Aynī,Badr al-Din Mahmud b. Ahmad al-Ayni,30.044749,31.263331,5H,13,VII,L-4,53,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument102
102,al-'Ayni,مدرسة العينى,al-ʻAynī,"Qadi al-Ayni, under Sultan Barquq, Sultan Mu'ayyad Shaykh and Sultan Barsbay",جامع عينيه,Gâma’ A’ynyeh ,c,mosque,814,1411,1411,1411,بدر الدين محمود بن احمد العينى,Badr al-Dīn Maḥmūd b. Aḥmad al-‘Aynī,Badr al-Din Mahmud b. Ahmad al-Ayni,30.044782,31.263245,5H,13,VII,L-4,53,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument102
103,Ahmad ibn Sha'ban,زاوية احمد بن شعبان,Aḥmad ibn Shaʻbān,N/A,N/A,N/A,a,mausoleum,end 10th cent.,16th cent.,N/A,1550,احمد بن شعبان,Aḥmad bn Shaʻbān,Ahmad bn Shaban,30.043511,31.264451,5H,6,N/A,N/A,N/A,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument103
103,Ahmad ibn Sha'ban,زاوية احمد بن شعبان,Aḥmad ibn Shaʻbān,N/A,N/A,N/A,b,mosque,end 10th cent.,16th cent.,N/A,1550,احمد بن شعبان,Aḥmad bn Shaʻbān,Ahmad bn Shaban,30.043439,31.26439,5H,6,N/A,N/A,N/A,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument103
103,Ahmad ibn Sha'ban,زاوية احمد بن شعبان,Aḥmad ibn Shaʻbān,N/A,N/A,N/A,c,sabil,end 10th cent.,16th cent.,N/A,1550,احمد بن شعبان,Aḥmad bn Shaʻbān,Ahmad bn Shaban,30.043482,31.264194,5H,6,N/A,N/A,N/A,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument103
104,Qaytbay,بقايا ربع قايتباى,Qāytbāy,Sultan Qaytbay,N/A,N/A,,wikala,879,1474,1472-4,1474,السلطان قايتباى,al-Sulṭān Qāytbāy,al-Sultan Qaytbay,30.045181,31.275521,5K,N/A,N/A,N/A,N/A,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument104
105,Sudun al-Qasrawi,قبة سودون القصروى,Sūdūn al-Qaṣrāwī,Amir and Dawadar Sudun al-Qasrawi under Sultan Inal,جامع سيدون القصراوي,Gâma’ Seydoun el-Qasrâouy ,a,mosque,before 873,1468,N/A,19c.,سودون القصروى,Sūdūn al-Qaṣrawī,Sudun al-Qasrawi,30.043263,31.262028,5H,13,VIII,M-5,118,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument105
105,Sudun al-Qasrawi,قبة سودون القصروى,Sūdūn al-Qaṣrāwī,Amir and Dawadar Sudun al-Qasrawi under Sultan Inal,جامع سيدون القصراوي,Gâma’ Seydoun el-Qasrâouy ,b,mausoleum,before 873,1468,1460-7,1468,سودون القصروى,Sūdūn al-Qaṣrawī,Sudun al-Qasrawi,30.043191,31.26193,5H,13,VIII,M-5,118,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument105
106,Khadiga Umm al-Ashraf,قبة خديجة ام الاشرف,Khadīga Umm al-Ashraf,"Khadiga Umm al-Ashraf, mother of Sultan Ashraf",N/A,N/A,,mausoleum,about 835-45,about 1430-40,1430-40,1436, خديجة ام الاشرف,Khadīja Umm al-Ashraf,Khadija Umm al-Ashraf,30.046927,31.276161,5L,N/A,N/A,N/A,N/A,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument106
107,Kafur az-Zimam,جامع كافور الزمام ( المدرسة الزمامية ),Kāfūr az-Zimām,"Kafur az-Zimam(d.1427), Anatolian eunuch, supervisor of Sultan Farag's Harem, served Sultan Mu'ayyad",جامع الخربطلي,Gâma’ el-Khourbatly,a,mosque,829,1425,1425,1425, كافور الزمام ( المدرسة الزمامية ),Kāfūr al-Zamām,Kafur al-Zamam,30.043993,31.260756,5H,13,VIII,L-7,215,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument107
107,Kafur az-Zimam,جامع كافور الزمام ( المدرسة الزمامية ),Kāfūr az-Zimām,"Kafur az-Zimam(d.1427), Anatolian eunuch, supervisor of Sultan Farag's Harem, served Sultan Mu'ayyad",جامع الخربطلي,Gâma’ el-Khourbatly,b,sabil kuttab,829,1425,N/A,1425, كافور الزمام ( المدرسة الزمامية ),Kāfūr al-Zamām,Kafur al-Zamam,30.044055,31.260712,5H,13,VIII,L-7,215,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument107
108,Ma'bad ar-Rifa'i,قبة الرفاعى,ar-Rifāʻī,N/A,N/A,N/A,,mausoleum,beginning 10th cent.,16th cent.,1432,1550,الرفاعى,al-Rifāʻī,al-Rifai,30.047989,31.276569,4L,N/A,N/A,N/A,N/A,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument108
109,al-Fakhrani/az-Zafir b.-Nasrallah,مصاريع جامع الفكهانى,al-Fakahānī (aẓ-Ẓāfir b-Naṣrallah),"Ahmad Katkhuda al-Kharbutl, at the site od Fatimid mosque of Khalih al-Zafir(1149-54)",جامع الفكعاني,Gâma’ el-Faka’âny ,a,minaret,1148,1735,N/A,1735,الفكهانى,al-Fakhānī,al-Fakhani,30.044537,31.258953,5G,20,VIII,L-6,274,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument109
109,al-Fakhrani/az-Zafir b.-Nasrallah,مصاريع جامع الفكهانى,al-Fakahānī (aẓ-Ẓāfir b-Naṣrallah),"Ahmad Katkhuda al-Kharbutl, at the site od Fatimid mosque of Khalih al-Zafir(1149-54)",جامع الفكعاني,Gâma’ el-Faka’âny ,b,sabil kuttab,1148,1735,N/A,1735,الفكهانى,al-Fakhānī,al-Fakhani,30.044598,31.258972,5G,20,VIII,L-6,274,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument109
109,al-Fakhrani/az-Zafir b.-Nasrallah,مصاريع جامع الفكهانى,al-Fakahānī (aẓ-Ẓāfir b-Naṣrallah),"Ahmad Katkhuda al-Kharbutl, at the site od Fatimid mosque of Khalih al-Zafir(1149-54)",جامع الفكعاني,Gâma’ el-Faka’âny ,c,mosque,1148,1735,N/A,1735,الفكهانى,al-Fakhānī,al-Fakhani,30.044405,31.259059,5G,20,VIII,L-6,274,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument109
110,as-Sab' Banat,قبة السبع بنات,as-Sabʻ Banāt,N/A,N/A,N/A,,mausoleum,middle 9th cent.,middle 15th cent.,1450,1445,N/A,N/A,N/A,30.048279,31.276655,4L,N/A,N/A,N/A,N/A,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument110
111,Ahmad Abu Saif,بقايا تكية احمد ابو سيف,Aḥmad Abū Saif,"Ahmad Abu Saif, member of Ulama in 15th c.",N/A,N/A,,mosque,9th cent.,15th cent.,N/A,1450,احمد ابو سيف,Aḥmad Abū Sayf,Ahmad Abu Sayf,30.046747,31.276485,5L,N/A,N/A,N/A,N/A,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument111
112,Aslam as-Silahdar,مسجد اصلم السلحدار,Aṣlam as-Silāḥdār,Aslam as-Silahdar of Sultan al-Nasir,جامع أصلان,Gâma’ Aslân,a,mausoleum,745-46,1344-45,1344-5,1344,اصلم السلحدار,Aṣlam al-Silaḥdār,Aslam al-Silahdar,30.040459,31.262059,6H,14,VIII,N-4,94,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument112
112,Aslam as-Silahdar,مسجد اصلم السلحدار,Aṣlam as-Silāḥdār,Aslam as-Silahdar of Sultan al-Nasir,جامع أصلان,Gâma’ Aslân,b,mosque,745-46,1344-45,1344-5,1344,اصلم السلحدار,Aṣlam al-Silaḥdār,Aslam al-Silahdar,30.040563,31.262031,6H,14,VIII,N-4,94,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument112
112,Aslam as-Silahdar,مسجد اصلم السلحدار,Aṣlam as-Silāḥdār,Aslam as-Silahdar of Sultan al-Nasir,جامع أصلان,Gâma’ Aslân,c,minaret,745-46,1344-45,1344-5,1344,اصلم السلحدار,Aṣlam al-Silaḥdār,Aslam al-Silahdar,30.040524,31.261922,6H,14,VIII,N-4,94,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument112
113,Azdumur,قبة ازدمر,Azdumur,N/A,N/A,N/A,,mausoleum,beginning 10th cent.,16th cent.,1502,1550,ازدمر,Azdamur,Azdamur,30.034751,31.260992,7G,14,N/A,N/A,N/A,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument113
