Number,ITEM,Name,Name,Name,Name,Name,Function,Function,Construction Year,Construction Year,Construction Year,Construction Year,Associated Figure,Associated Figure,Associated Figure,,,Location,Location,Location,Location,Location,
Monument ID,Name_Ministry of Antiquity_en,Ministry of Antiquity_ar,Ministry of Antiquity_variant,D. Abouseif_en,Napoleon's Map_ar,Napoleon's Map_fr,Facility Number,Facility Name,Ministry of Antiquity_AH,Ministry of Antiquity_AD,Abouseif,Fukami,Arabic,Variant,English,Latitude,Longtitude,Ministry of Antiquities,Nicholas Warner,Napoleon's Map_Region,Napoleon's Map_Area,Napoleon's Map_Monument ID,URL
7,an-Nasr,باب النصر,an-Naṣr,"Badr al-Din Gamali, Fatimid Wazir",باب النصر,Bâb el-Nasr ,,bab,480,1087,1087-92,1087,بدر الدين الجمالي,Badr al-Dīn al-Jamālī,Badr al-Din al-Jamali,30.054175,31.264982,3H,11,VII,E-5,368,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument7
8,al-Mazhariya,باب المزهرية ( باب المدرسة المنكوتمرية ),al-Mazharīya,N/A,جامع المزهريا,Gâma’ el-Mezheryâ ,,mosque,698,1298,N/A,1298,محمد بن أبي بكر مزهر,Muḥammad b. Abū Bakr Muzhir,Muhammad b. Abu Bakr Muzhir,30.056964,31.261573,2H,N/A,V,D-7,384,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument8
9,Qaytbay,وكالة السلطان قايتباى ( باب النصر ),Qāytbāy,Sultan Qaytban,وكالة القطن,Okâlt el-Qotn ,,wikala,885,1480-81,1481,1480,السلطان الاشرف قايتباى,al-Sulṭān al-Ashraf Qāytbāy,al-Sultan al-Ashraf Qaytbay,30.054092,31.264574,3H,18,VII,E-5,355,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument9
10,Ahmad al-Qasid,قبة القاصد,Aḥmad al-Qāṣid,N/A,شيخ القاصد,Cheykh el-Qâsed,a,mausoleum,about 735,1335,1335,1335,القاصد,al-Qāṣid,al-Qasid,30.053718,31.26438,3H,18,VII,F-5,348,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument10
10,Ahmad al-Qasid,قبة القاصد,Aḥmad al-Qāṣid,N/A,شيخ القاصد,Cheykh el-Qâsed,b,mosque,about 735,1335,1335,1335,القاصد,al-Qāṣid,al-Qasid,30.053718,31.26438,3H,18,VII,F-5,348,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument10
11,Qusun,باب وكالة قوصون,Qūsūn,Amir Qusun,وكالة الصابون,Okâlt el-Sâboun ,,wikala,before 742,1341,1341,1341,قوصون,Qawṣūn,Qawsun,30.053155,31.263973,3H,18,VII,F-5,343,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument11
12,ad-Dashtuti,جامع الدشطوطى,ad-Dashṭūṭī,N/A,N/A,N/A,a,mausoleum,912,1506,1506,1506,الدشطوطى,al-Dashṭūṭī,al-Dashtuti,30.058126,31.258945,2G,N/A,N/A,N/A,N/A,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument12
12,ad-Dashtuti,جامع الدشطوطى,ad-Dashṭūṭī,N/A,N/A,N/A,b,mosque,912,1506,1506,1506,الدشطوطى,al-Dashṭūṭī,al-Dashtuti,30.058148,31.25882,2G,N/A,N/A,N/A,N/A,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument12
13,al-Hatu,منزل وقف الحتو,al-Ḥatū,N/A,N/A,N/A,,residence,N/A,N/A,N/A,18c.,N/A,N/A,N/A,30.052734,31.262855,N/A,18,N/A,N/A,N/A,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument13
14,Amir Muhammad/Syleyman Agah Silahdar,سبيل الامير محمد,Emīr Muḥammad (Sulaymān Āghā as-Silāḥdār),N/A,سبيل الجوانيه,Sibyl el-Gouânyeh ,,sabil kuttab,1014,1605,N/A,1605,الامير محمد,al-Amīr Muḥammad,al-Amir Muhammad,30.052497,31.263875,3H,18,VII,F-5,333,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument14
15,al-Hakim,جامع الحاكم بأمرالله,al-Ḥākim Bi-amrillāh,"Khalif al-'Aziz, Khalif al-Hakim(Fatimid)",جامع الحاكم,Gâma’ el-Hakym,a,minaret,380-403,990-1013,990,990 and after,الخليفة الحاكم بأمرالله,al-Khalīfa al-Ḥākim bi-Amri Allāh,al-Khalifa al-Hakim bi-Amri Allah,30.055208,31.26374,3H,18,VII,E-5,361,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument15
15,al-Hakim,جامع الحاكم بأمرالله,al-Ḥākim Bi-amrillāh,"Khalif al-'Aziz, Khalif al-Hakim(Fatimid)",جامع الحاكم,Gâma’ el-Hakym,b,minaret,380-403,990-1013,990,990 and after,الخليفة الحاكم بأمرالله,al-Khalīfa al-Ḥākim bi-Amri Allāh,al-Khalifa al-Hakim bi-Amri Allah,30.054337,31.262921,3H,18,VII,E-5,361,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument15
15,al-Hakim,جامع الحاكم بأمرالله,al-Ḥākim Bi-amrillāh,"Khalif al-'Aziz, Khalif al-Hakim(Fatimid)",جامع الحاكم,Gâma’ el-Hakym,c,minaret,380-403,990-1013,N/A,990 and after,الخليفة الحاكم بأمرالله,al-Khalīfa al-Ḥākim bi-Amri Allāh,al-Khalifa al-Hakim bi-Amri Allah,30.055208,31.26374,3H,18,VII,E-5,361,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument15
15,al-Hakim,جامع الحاكم بأمرالله,al-Ḥākim Bi-amrillāh,"Khalif al-'Aziz, Khalif al-Hakim(Fatimid)",جامع الحاكم,Gâma’ el-Hakym,d,minaret,380-403,990-1013,N/A,990 and after,الخليفة الحاكم بأمرالله,al-Khalīfa al-Ḥākim bi-Amri Allāh,al-Khalifa al-Hakim bi-Amri Allah,30.054337,31.262921,3H,18,VII,E-5,361,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument15
15,al-Hakim,جامع الحاكم بأمرالله,al-Ḥākim Bi-amrillāh,"Khalif al-'Aziz, Khalif al-Hakim(Fatimid)",جامع الحاكم,Gâma’ el-Hakym,e,mosque,380-403,990-1013,990,990,الخليفة الحاكم بأمرالله,al-Khalīfa al-Ḥākim bi-Amri Allāh,al-Khalifa al-Hakim bi-Amri Allah,30.054505,31.26372,3H,18,VII,E-5,361,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument15
16,Qitas Bey,سبيل وكتاب وقف قيطاس,Qīṭās Bey (Bībars al-Gāshankīr),"Amir Qitas Bey, waqf of Khanqah Sultan Baybars al-Gashankir(No.32)",سبيل بيبرس,Sibyl Beybars,,sabil kuttab,1040,1630,N/A,1630,قيطاس,Qīṭās,Qitas,30.05186,31.263557,3H,18,VII,G-5,328,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument16
17,Oda Bashi,سبيل وكتاب اوده باشى,Ōda Bāshī,Amir Muhammad Katkhuda and Amir Dhulfiqar Katkhuda(brother of Muhammad),سبيل ذو الفقار,Sibyl Zou-l-Fiqâr ,,sabil kuttab,1084,1673,N/A,1673,اوده باشى,Ūda Bāshi,Uda Bashi,30.051,31.263459,4H,12,VII,G-5,291,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument17
18,al-Bakri,المدرسة البقرية,al-Bakrī,"Shams al-Din Shakir, Ibn al-Bakri, Sultan Hasan's chief administrator, Coptic convert to Islam",جامع البقري,Gâma’ el-Baqary,a,mosque,before 776,1374,N/A,1374,شمس الدين شاكر بن غزيل / ابن البكري,Shams al-Dīn Shākir b. Ghazīl / iIbn al-Bakrī,Shams al-Din Shakir b. Ghazil / Ibn al-Bakri,30.053329,31.26541,3H,11,VII,F-4,135,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument18
18,al-Bakri,المدرسة البقرية,al-Bakrī,"Shams al-Din Shakir, Ibn al-Bakri, Sultan Hasan's chief administrator, Coptic convert to Islam",جامع البقري,Gâma’ el-Baqary,b,mausoleum,before 776,1374,N/A,1374,شمس الدين شاكر بن غزيل / ابن البكري,Shams al-Dīn Shākir b. Ghazīl / iIbn al-Bakrī,Shams al-Din Shakir b. Ghazil / Ibn al-Bakri,30.053329,31.26541,3H,11,VII,F-4,135,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument18
19,Dhu'l-Fiqar/Oda Bashi,واجهة منزل ووكالة اوده باشى,Dhuʼl-Fiqār (Ōda Bāshī),"Amir Muhammad Katkhuda and Amir Dhulfiqar Katkhuda(brother of Muhammad), reused 15c. Foundation the waqf of Sultan al-Mu'ayyad Shaykh",وكالة ذو الفقار,Okâlt Zou-l-Fiqâr,a,wikala,1084,1673,"1673, 1680",1673,اوده باشى,Ūda Bāshi,Uda Bashi,30.050679,31.263692,4H,11,VII,G-5,290,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument19
19,Dhu'l-Fiqar/Oda Bashi,واجهة منزل ووكالة اوده باشى,Dhuʼl-Fiqār (Ōda Bāshī),"Amir Muhammad Katkhuda and Amir Dhulfiqar Katkhuda(brother of Muhammad), reused 15c. Foundation the waqf of Sultan al-Mu'ayyad Shaykh",وكالة ذو الفقار,Okâlt Zou-l-Fiqâr,b,residence,1084,1673,"1673, 1680",1673,اوده باشى,Ūda Bāshi,Uda Bashi,N/A,N/A,4H,11,VII,G-5,290,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument19
20,Musafirkhana,بقايا سراى المسافر خانه,al-Musāfirhāna,"Mahmud Muharram, merchant in 18c.",بيت محمود محرم,Beyt Mahmoud Maharram ,,residence,1193-1203,1779-88,1779-88,1779,محمود محرم الفيومي,Maḥmūd Muḥarram al-Fayyūmī,Mahmud Muharram al-Fayyumi,30.050307,31.26419,4H,12,VII,G-5,287,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument20
21,Abd ar-Rahman Katkhuda,سبيل وكتاب عبد الرحمن كتخدا,ʻAbd ar-Raḥmān Katkhudā,Abd al-Rahman Katkhuda,N/A,N/A,,sabil kuttab,1157,1744,N/A,1744,عبد الرحمن كتخدا,‘Abd al-Raḥmān Katkhdā,Abd al-Rahman Katkhuda,30.050738,31.261572,4H,19,N/A,N/A,N/A,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument21
22,Aydumur al-Bahlawan/Baydar,مسجد ايدمر البهلوان,Aydamur al-Bahlawān (Baydar),"Aydumur al-Bahlawan(died and buried in Syria), provincial governor under Sultan al-Salih Isma'il",زاوية أيدمر ,Zâouyet Aydoumour ,a,minaret,before 747,1346,1346,1346,ايدمر البهلوان,Aydamur al-Bahlawān,Aydamur al-Bahlawan,30.048279,31.264806,4H,12,VII,I-4,92,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument22
22,Aydumur al-Bahlawan/Baydar,مسجد ايدمر البهلوان,Aydamur al-Bahlawān (Baydar),"Aydumur al-Bahlawan(died and buried in Syria), provincial governor under Sultan al-Salih Isma'il",زاوية أيدمر ,Zâouyet Aydoumour ,b,mausoleum,before 747,1346,1346,1346,ايدمر البهلوان,Aydamur al-Bahlawān,Aydamur al-Bahlawan,30.048252,31.264793,4H,12,VII,I-4,92,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument22
22,Aydumur al-Bahlawan/Baydar,مسجد ايدمر البهلوان,Aydamur al-Bahlawān (Baydar),"Aydumur al-Bahlawan(died and buried in Syria), provincial governor under Sultan al-Salih Isma'il",زاوية أيدمر ,Zâouyet Aydoumour ,c,mosque,before 747,1346,1346,1346,ايدمر البهلوان,Aydamur al-Bahlawān,Aydamur al-Bahlawan,30.048256,31.264853,4H,12,VII,I-4,92,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument22
23,as-Sayyid 'Ali ibn Heiza',سبيل وكتاب امين افندى بن هيزع,as-Sayyid ʻAlī ibn Heyzaʻ,"al-Sayyid 'Ali ibn Bayz7, Husayn Katkhuda al-Izmirli and Amin Effendi",N/A,Cistern,,sabil kuttab,1056,1646,N/A,1646,امين افندى بن هيزع,Amīn Afandī bn Hayzaʻ,Amin Afandi bn Hamza,30.047847,31.264409,4H,12,VII,I-4,86',https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument23
24,al-Gukandar,مسجد آل ملك الجوكندار,al-Gukandār,"Amir Almalik al-Gukandar, mamluk of Sultan al-Zahir Baybars to Sultan Nasir's five sons",N/A,N/A,,mosque,719,1319,1319,1319,آل ملك الجوكندار,Āl Malik al-Jūkandār,Al malik al-Jukandar,30.047565,31.264024,4H,12,N/A,N/A,N/A,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument24
25,"Bardak/Umm al-Ghulam, Inal",جامع ابن برد بك,Bardbak (Umm al-Ghulām or Īnāl),"Amir Taqtabay ibn Bardbak, built over Fatima(Mother of Husayn) and another female saints (in 1254 by Amir Bilbak al-Khazindar)",جامع الدردبكيه,Gâma’ el-Derdebakyeh ,a,minaret,about 865,1460,N/A,1460,ابن برد بك,Ibn Bardbak,Ibn Bardbak,30.048156,31.264529,4H,12,VII,I-4,88,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument25
25,"Bardak/Umm al-Ghulam, Inal",جامع ابن برد بك,Bardbak (Umm al-Ghulām or Īnāl),"Amir Taqtabay ibn Bardbak, built over Fatima(Mother of Husayn) and another female saints (in 1254 by Amir Bilbak al-Khazindar)",جامع الدردبكيه,Gâma’ el-Derdebakyeh ,b,mausoleum,about 865,1460,1475,1460,ابن برد بك,Ibn Bardbak,Ibn Bardbak,30.048066,31.264422,4H,12,VII,I-4,88,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument25
